CMDLINE 22536
MEM 3.417969 1714303935.1834
MEM 3.417969 1714303935.2844
MEM 3.417969 1714303935.3848
MEM 3.417969 1714303935.4854
MEM 3.417969 1714303935.5858
MEM 3.417969 1714303935.6863
MEM 3.417969 1714303935.7870
MEM 3.417969 1714303935.8874
MEM 3.417969 1714303935.9880
MEM 3.417969 1714303936.0882
MEM 3.417969 1714303936.1885
MEM 3.417969 1714303936.2889
MEM 3.417969 1714303936.3891
MEM 3.417969 1714303936.4894
MEM 3.417969 1714303936.5896
MEM 3.417969 1714303936.6903
MEM 3.417969 1714303936.7911
MEM 3.417969 1714303936.8916
MEM 3.417969 1714303936.9919
MEM 3.417969 1714303937.0925
MEM 3.417969 1714303937.1929
MEM 3.417969 1714303937.2930
MEM 3.417969 1714303937.3934
MEM 3.417969 1714303937.4940
MEM 3.417969 1714303937.5946
MEM 3.417969 1714303937.6952
MEM 3.417969 1714303937.7959
MEM 3.417969 1714303937.8961
MEM 3.417969 1714303937.9968
MEM 3.417969 1714303938.0970
MEM 3.417969 1714303938.1976
MEM 3.417969 1714303938.2983
MEM 3.417969 1714303938.3989
MEM 3.417969 1714303938.4991
MEM 3.417969 1714303938.6002
MEM 3.417969 1714303938.7006
MEM 3.417969 1714303938.8011
MEM 3.417969 1714303938.9015
MEM 3.417969 1714303939.0020
MEM 3.417969 1714303939.1025
MEM 3.417969 1714303939.2031
MEM 3.417969 1714303939.3033
MEM 3.417969 1714303939.4036
MEM 3.417969 1714303939.5038
MEM 3.417969 1714303939.6045
MEM 3.417969 1714303939.7047
MEM 3.417969 1714303939.8048
MEM 3.417969 1714303939.9052
MEM 3.417969 1714303940.0058
MEM 3.417969 1714303940.1061
MEM 3.417969 1714303940.2064
MEM 3.417969 1714303940.3072
MEM 3.417969 1714303940.4078
MEM 3.417969 1714303940.5082
MEM 3.417969 1714303940.6088
MEM 3.417969 1714303940.7094
MEM 3.417969 1714303940.8100
MEM 3.417969 1714303940.9110
MEM 3.417969 1714303941.0113
MEM 3.417969 1714303941.1118
MEM 3.417969 1714303941.2122
MEM 3.417969 1714303941.3128
MEM 3.417969 1714303941.4132
MEM 3.417969 1714303941.5136
MEM 3.417969 1714303941.6140
MEM 3.417969 1714303941.7142
MEM 3.417969 1714303941.8149
MEM 3.417969 1714303941.9155
MEM 3.417969 1714303942.0158
MEM 3.417969 1714303942.1164
MEM 3.417969 1714303942.2170
MEM 3.417969 1714303942.3180
MEM 3.417969 1714303942.4184
MEM 3.417969 1714303942.5190
MEM 3.417969 1714303942.6196
MEM 3.417969 1714303942.7198
MEM 3.417969 1714303942.8203
MEM 3.417969 1714303942.9205
MEM 3.417969 1714303943.0209
MEM 3.417969 1714303943.1211
MEM 3.417969 1714303943.2214
MEM 3.417969 1714303943.3219
MEM 3.417969 1714303943.4225
MEM 3.417969 1714303943.5229
MEM 3.417969 1714303943.6233
MEM 3.417969 1714303943.7239
MEM 3.417969 1714303943.8242
MEM 3.417969 1714303943.9249
MEM 3.417969 1714303944.0254
MEM 3.417969 1714303944.1258
MEM 3.417969 1714303944.2262
MEM 3.417969 1714303944.3264
MEM 3.417969 1714303944.4274
MEM 3.417969 1714303944.5281
MEM 3.417969 1714303944.6288
MEM 3.417969 1714303944.7297
MEM 3.417969 1714303944.8299
MEM 3.417969 1714303944.9305
MEM 3.417969 1714303945.0308
MEM 3.417969 1714303945.1315
MEM 3.417969 1714303945.2318
MEM 3.417969 1714303945.3324
MEM 3.417969 1714303945.4328
